Rk,Player,Pos,Tm,Cap Hit
1,Kirk Cousins\CousKi00,QB,MIN,"$22,500,000 "
2,Ezekiel Ansah\AnsaEz00,DE,DET,"$17,143,000 "
3,Demarcus Lawrence\LawrDe00,DE,DAL,"$17,143,000 "
4,Russell Wilson\WilsRu00,QB,SEA,"$15,500,000 "
5,Calais Campbell\CampCa99,DE,JAX,"$15,000,000 "
6,Justin Houston\HousJu00,LB,KAN,"$14,750,000 "
7,Cam Newton\NewtCa00,QB,CAR,"$14,500,000 "
8,Ndamukong Suh\SuhxNd99,DT,LAR,"$14,000,000 "
9,Terrence Brooks\BrooTe00,FS,NYJ,"$14,000,000 "
10,Andy Dalton\DaltAn00,QB,CIN,"$13,700,000 "
11,Malik Jackson\JackMa02,DT,JAX,"$13,500,000 "
12,Josh Norman\NormJo01,CB,WAS,"$13,300,000 "
13,A.J. Bouye\BouyA.00,CB,JAX,"$13,000,000 "
14,Alex Smith\SmitAl03,QB,WAS,"$13,000,000 "
15,Olivier Vernon\VernOl00,DE,NYG,"$12,750,000 "
16,Chandler Jones\JoneCh03,DE,ARI,"$12,500,000 "
17,DeAndre Hopkins\HopkDe00,WR,HOU,"$12,500,000 "
18,Kawann Short\ShorKa00,DT,CAR,"$12,500,000 "
19,Jadeveon Clowney\ClowJa00,DE,HOU,"$12,306,000 "
20,Anthony Barr\BarrAn00,OLB,MIN,"$12,306,000 "
21,Gerald McCoy\McCoGe99,DT,TAM,"$12,250,000 "
22,Joe Flacco\FlacJo00,QB,BAL,"$12,000,000 "
23,Ben Roethlisberger\RoetBe00,QB,PIT,"$12,000,000 "
24,Andrew Luck\LuckAn00,QB,IND,"$12,000,000 "
25,Russell Okung\OkunRu20,T,LAC,"$12,000,000 "
26,Fletcher Cox\CoxxFl00,DT,PHI,"$11,500,000 "
27,Lamarcus Joyner\JoynLa00,CB,LAR,"$11,287,000 "
28,Melvin Ingram\IngrMe00,DE,LAC,"$11,250,000 "
29,Jason Pierre-Paul\PierJa99,DE,TAM,"$11,250,000 "
30,Eric Fisher\FishEr00,OT,KAN,"$11,150,000 "
31,Patrick Peterson\PetePa00,CB,ARI,"$11,000,000 "
32,DeSean Jackson\JackDe00,WR,TAM,"$11,000,000 "
33,Aqib Talib\TaliAq99,DB,LAR,"$11,000,000 "
34,T.Y. Hilton\HiltT.00,WR,IND,"$11,000,000 "
35,J.J. Watt\WattJ.00,DE,HOU,"$11,000,000 "
36,Larry Fitzgerald\FitzLa00,WR,ARI,"$11,000,000 "
37,Jamie Collins\CollJa00,OLB,CLE,"$10,650,000 "
38,Jurrell Casey\CaseJu00,DL,TEN,"$10,600,000 "
39,A.J. Green\GreeA.00,WR,CIN,"$10,550,000 "
40,Xavier Rhodes\RhodXa00,CB,MIN,"$10,400,000 "
41,Clay Matthews\MattCl99,LB,GNB,"$10,400,000 "
42,Robert Quinn\QuinRo00,DE,MIA,"$10,333,301 "
43,Terron Armstead\ArmsTe00,OT,NOR,"$10,200,000 "
44,Drew Brees\BreeDr00,QB,NOR,"$10,200,000 "
45,Kevin Zeitler\ZeitKe00,G,CLE,"$10,000,000 "
46,Bobby Wagner\WagnBo00,ILB,SEA,"$10,000,000 "
47,Tyrod Taylor\TaylTy00,QB,CLE,"$10,000,000 "
48,Logan Ryan\RyanLo00,CB,TEN,"$10,000,000 "
49,Philip Rivers\RivePh00,QB,LAC,"$10,000,000 "
50,Tyron Smith\SmitTy00,OT,DAL,"$10,000,000 "
51,Marcell Dareus\DareMa00,DT,JAX,"$9,925,000 "
52,Trent Williams\WillTr21,T,WAS,"$9,850,000 "
53,Kelechi Osemele\OsemKe00,T,OAK,"$9,700,000 "
54,Matthew Stafford\StafMa00,QB,DET,"$9,500,000 "
55,Ja'Wuan James\JameJa01,OT,MIA,"$9,341,000 "
56,Cordy Glenn\GlenCo00,T,CIN,"$9,250,000 "
57,Riley Reiff\ReifRi00,OT,MIN,"$9,100,000 "
